,Dominant Attribute,Base Strength,Strength Growth,Base Agility,Agility Growth,Base Intelligence,Intelligence Growth,A,STR,STR+,STR30,AGI,AGI+,AGI30,INT,INT+,INT30,T,T+,T30,MS,AR,DMG(MIN),DMG(MAX),RG,AS,BAT,ATKPT,ATKBS,VS-D,VS-N,TR,COL,HP/S,L,Description,Release,Status,Release,Version
Viper,Agility,21,2.4,21,2.7,17,2.0,,21,2.4,90.6,21,2.7,99.3,17,2.0,75.0,59,7.1,264.9,275,1.5,48,50,575,120,1.7,0.33,1.0,1800,800,0.6,24,2.35,0,"It was foolhardy to try and tame a Netherdrake, a lesson the old wizard learned in death. Freed from his captor, Viper spread his wings and went forth to explore the surface world. His Poison Attacks cause joints to harden, crippling foes whether they choose to flee or fight. Nethertoxin spreads throughout their body, sapping the will and weakening the spirit. The Netherdrake's tough, Corrosive Skin protects against spellcraft, and burns assailants with acid. But it is the dreaded Viper Strike that signals the beginning of the end. The afflicted victim staggers to a crawl, barely able to take his next step. If the Netherdrake doesn't finish him off, the venom in his veins will.",2011-02-19,Beta,2004-02-03,0.60
Weaver,Agility,16,2.0,17,3.1,20,2.0,,16,2.0,74.0,17,3.1,106.9,20,2.0,78.0,53,7.1,258.9,275,2.83,54,60,425,120,1.8,0.55,0.36,1800,800,0.6,24,2.85,4,"All Weavers worked to maintain the fabric of creation, save one Skitskurr, who took it upon himself to create that which had not been woven. Cast out for his ambitions, Skitskurr was now free from his obligations, free to weave a new reality of his own. He opens a gap in spacetime, inviting The Swarm to latch onto enemies, and nibble away at their armor. Nearly impossible to pin down, he slips into micro-wormholes, passing through enemies and reappearing with Shukuchi. The fabric of time frays around Skitskurr, occasionally replaying his actions with Geminate Attack. The Weaver takes brinksmanship to an extreme. Fighting to the verge of death, Skitskurr turns back the clock with Time Lapse, reversing his injuries and undoing his foes' efforts, much to their dismay.",2011-06-10,Beta,2005-03-01,6.00
Ancient Apparition,Intelligence,20,1.9,20,2.2,23,3.4,,20,1.9,75.1,20,2.2,83.8,23,3.4,121.6,63,7.5,280.5,285,2.33,44,54,675,100,1.7,0.45,0.3,1800,800,0.6,24,2.25,0,"Projected from the cold, infinite void, the Ancient Apparition known as Kaldr is but a faint image of his true self. Nevertheless, his Chilling Touch is enough to crack the sturdiest of armors. Caught in an Ice Vortex, heroes afflicted with Cold Feet seldom go far. A frozen sphere flies across the sky, expanding at its destination. Within seconds, an Ice Blast strikes the marked area. Flash frozen, enemies have no choice but to retreat before their brittle bodies shatter to pieces...",2011-06-17,Beta,2009-12-23,6.65
Bane,Intelligence,22,2.5,22,2.5,22,2.5,,22,2.5,94.5,22,2.5,94.5,22,2.5,94.5,66,7.5,283.5,305,4.67,55,61,400,100,1.7,0.3,0.7,1800,1200,0.6,24,2.45,4,"Formed from the ichor of Nyctasha, Atropos is the vaporous embodiment of pure fear. Sheer terror Enfeebles his enemies, diminishing their attacks. The Bane Elemental puts heroes to sleep, sending them into a restless Nightmare as he feeds on their vital energies through Brain Sap. Some will never wake. Caught in the Fiend's Grip, Bane's victims can only swing at imagined phantoms as fear chokes the life from their bodies.",2012-03-01,Beta,2004-10-15,5.75
Batrider,Intelligence,28,2.9,15,1.8,22,2.9,,28,2.9,112.1,15,1.8,67.2,22,2.9,106.1,65,7.6,285.4,310,4.5,39,43,400,100,1.7,0.3,0.54,1600,800,0.9,24,4.55,2,"While most would find being kidnapped by a morde-bat to be a terrifying ordeal, one particular young man found the incident exhilarating. Seeking to relive the thrill of flight, he entered the Yama Raskav Jungle, and came out high above the canopy as the Batrider. Atop his leathery mount, he drenches targets below in Sticky Napalm, increasing their flammability before setting the land ablaze with Firefly. He hurls an explosive cocktail, knocking foes away with Flamebreak. Want a ride? That can be arranged. The Batrider spots heroes from above, and throws out the Flaming Lasso to string them along for an experience they will not soon forget.",2011-10-27,Beta,2009-06-10,6.60
Chen,Intelligence,25,2.0,15,2.1,19,3.2,,25,2.0,83.0,15,2.1,75.9,19,3.2,111.8,59,7.3,270.7,300,1.5,46,56,650,100,1.7,0.5,0.5,1800,800,0.6,24,2.75,2,"Converted at swordpoint after a disastrous battle, Chen quickly became one of the Fold's most zealous knights. Raised among the clans of the Hazhadal Barrens, Chen adapts his skills of animal enthrallment to perform Holy Persuasions, compelling packs of beasts to fight for his cause. His allies are graced with Divine Favor, while foes are forced to atone through the magnified pains of Penitence. Chen's devotion does not go unrewarded. The Hand of God aids his companions in their quests, intervening at critical moments to heal their injuries and save them from fatal blows.",2011-07-01,Beta,2004-02-03,0.60
Crystal Maiden,Intelligence,18,2.2,16,1.6,16,3.3,,18,2.2,81.8,16,1.6,62.4,16,3.3,111.7,50,7.1,255.9,280,1.67,44,50,600,100,1.7,0.45,0.0,1800,800,0.6,24,2.05,2,"Wherever Rylai went, the cold went with her. Fields and orchards withered in her wake, leaving her parents no choice but to pack her off to Icewrack, a realm in the frigid north. Under the tutelage of a hermit wizard, Rylai learned to imprison her enemies with Frostbite, holding them in place as she freezes the ground with Crystal Nova. Magic flourishes under her Arcane Aura, stimulating mana regeneration in all her companions. In the heat of battle, Rylai keeps a cool head. Channeling her elemental talents, the Crystal Maiden summons enormous shards of ice from the skies, obliterating all foes foolish enough to remain in her Freezing Field.",2010-11-01,Alpha,2004-02-03,0.60
Dark Seer,Intelligence,22,2.6,18,1.8,21,2.7,,22,2.6,97.4,18,1.8,70.2,21,2.7,99.3,61,7.1,266.9,295,5.0,54,60,150,100,1.7,0.59,0.58,1800,800,0.6,24,2.45,2,"In a final, calculated move, Ish'Kafel led his outnumbered army into a new world, sealing the path behind with a burst of dark energy. A cunning tactician, the Dark Seer manipulates gravity to pull foes into a Vacuum, drawing them into the prismatic thorns of his Ion Shell. Armed only with his intellect, he Surges across the land to survey every point of conflict. At strategic locations Ish'Kafel places a Wall of Replica, sowing confusion amongst enemy ranks as an army of duplicates emerge to do battle against their own likenesses.",2011-04-30,Beta,2007-06-10,6.44
Dark Willow,Intelligence,20,2.0,18,1.6,21,3.5,,20,2.0,78.0,18,1.6,64.4,21,3.5,122.5,59,7.1,264.9,290,2.0,48,56,475,115,1.5,0.3,1.0,1800,800,0.7,24,2.75,2,"Mireska Sunbreeze is a devious rebel for whom deceit and backstabbing are but business norms. Her Fae heritage lets her to slip into the Shadow Realm, avoiding attacks while entrapping victims in a thorny Bramble Maze. She lays a Cursed Crown on her foes, stunning them no matter where they run. The Dark Willow's companion wisp is no less to fear. Jex circles its mistress, creating total Bedlam before tapping into primal fears to Terrorize enemies into submission.",2017-10-31,Reborn,-,7.07
Dazzle,Intelligence,18,2.3,20,1.7,25,3.7,,18,2.5,90.5,20,1.7,69.3,25,3.7,132.3,63,7.9,292.1,305,3.33,47,53,575,100,1.7,0.3,0.3,1800,800,0.7,24,2.05,2,"A journey to the Nothl realm changes all its visitors, not least of which Dazzle, a young acolyte of the Dezun order. Consecrated as a Shadow Priest, Dazzle sends outs Shadow Waves to mend and maim. Foes are crippled by his Poison Touch, while allies are blessed with Shallow Grave, cheating death no matter how severe their injuries. Enemies within earshot of his incantations feel their bodies weaken, for those who cross Dazzle are invariably afflicted with an eternity of Bad Juju.",2010-11-01,Alpha,2005-03-01,6.00
Death Prophet,Intelligence,21,3.1,14,1.8,24,3.3,,21,3.1,110.9,14,1.8,66.2,24,3.3,119.7,59,8.2,296.8,325,3.33,47,57,600,100,1.7,0.5,0.51,1800,800,0.8,24,2.35,2,"Denied her own death time and again, Krobelus returns from the grave with skills acquired from the beyond. Gathering a Crypt Swarm, she sends forth a flock of winged beasts to harass the living. A pall of Silence falls over the land, stifling any objection as she Spirit Siphons her enemies dry. Mortals beware. The Death Prophet performs an Exorcism, unleashing the banshee remnants of her previous lives to turn the battlefield into her own haunted ground.",2011-12-09,Beta,2004-02-03,0.60
Disruptor,Intelligence,21,2.4,15,1.4,20,2.9,,21,2.4,90.6,15,1.4,55.6,20,2.9,104.1,56,6.7,250.3,295,2.5,49,53,625,100,1.7,0.4,0.5,1800,800,0.6,24,2.35,2,"From upland Druud, the Stormcrafter known as Disruptor rides down on his stryder to meet those who threaten ancient Oglodi lands. On his back, he carries a device that lets him aim Thunder Strikes from the skies. The Stormcrafter teleports enemy heroes to an earlier location, and erects his Kinetic Field to confine them within a circular barrier. Magic dissipates inside Disruptor's Static Storm, leaving foes caught within no option but to await their own destruction.",2012-07-05,Beta,2010-07-26,6.68
Enchantress,Intelligence,17,1.7,19,2.1,22,3.8,,17,1.7,66.3,19,2.1,79.9,22,3.8,132.2,58,7.6,278.4,320,4.17,45,55,575,100,1.7,0.3,0.7,1800,800,0.6,24,1.95,4,"Sproink! Carefree and pure of heart, Aiushtha wanders the forests, listening to the stories of its inhabitants. Nature's Attendants flutter around her, lively sprites that heal critters big and small. When necessary, she Enchants woodland creatures to do her bidding. A perfect image of Untouchable innocence, hunters hesitate to make even the slightest move against Aiushtha. This reluctance is seldom reciprocated. Threats against her friends embolden the Enchantress to break her gentle demeanor, giving her the Impetus to bring those who disturb the peace to a swift and final justice.",2011-05-26,Beta,2005-03-01,6.00
Enigma,Intelligence,21,2.5,14,1.0,19,3.6,,21,2.5,93.5,14,1.0,43.0,19,3.6,123.4,54,7.1,259.9,290,4.33,43,49,500,100,1.7,0.4,0.77,1800,800,0.6,24,2.35,0,"A mystery worthy of his name, Enigma could only be described as a being of the void, a beast between planes. He draws aspects of himself from other dimensions, performing Demonic Conversions to summon numerous Eidolons. The ground darkens under a Midnight Pulse, and foes are stunned by the unseen force of Malefice as they try to flee its entropic effects. One legend has it that Enigma is actually the first collapsed star. This theory grows more plausible as Enigma begins to channel a cosmic singularity, pulling all except himself into the superdense center of his Black Hole.",2011-02-12,Beta,2005-03-01,6.00
Grimstroke,Intelligence,21,2.4,18,1.9,25,3.8,,21,2.4,90.6,18,1.9,73.1,25,3.8,135.2,64,8.1,298.9,290,3.0,46,50,600,100,1.7,0.35,0.85,1800,800,0.6,24,2.35,0,"The peoples of Ashkavor gave their lives for the newly Ascended, one unlike any Ascended before him. Grimstroke's lust for power had tainted the sacred ritual, and the corrupted ink consumed him—along with his kin. The defiled remnant of his former beloved remains at his side, agonizing those caught in this Phantom's Embrace. Shrouded by a shadowy Ink Swell, Grimstroke retaliates with lashing black tendrils, while a Stroke of Fate forms under his brush, darkening the land. Drawing on Ashkavorian rituals of protection, Grimstroke twists the ancient arts to Soulbind foes together, so that the sufferings of one will be felt equally by the other.",2018-08-24,Reborn,-,7.19
Invoker,Intelligence,18,2.4,14,1.9,15,4.6,,18,2.4,87.6,14,1.9,69.1,15,4.6,148.4,47,8.9,305.1,285,2.33,44,50,600,100,1.7,0.4,0.7,1800,800,0.6,24,2.05,2,"A competent wizard knows perhaps two spells; an exceptional one, three or four. Wielding the elements of Quas, Wex, and Exort, the Invoker surpasses them all. He conjures Forge Spirits, granting them the Alacrity to stun foes through Cold Snap. Predicting enemy movement, the Invoker Sun Strikes any point in the world, then vanishes with Ghost Walk, leaving an impassable Ice Wall to dissuade pursuers. A strong Tornado throws opponents into the air, while an EMP awaits to deplete their mana upon landing. Advancing enemies are repelled with Deafening Blasts, giving Invoker more than enough time to crush them under a Chaos Meteor. Whatever magic he chooses, one thing is certain: All shall come to bow before the Arsenal Magus.",2012-01-19,Beta,2005-06-06,6.10
Jakiro,Intelligence,25,2.8,15,1.2,26,3.0,,25,2.8,106.2,15,1.2,49.8,26,3.0,113.0,66,7.0,269.0,290,3.5,53,61,400,100,1.7,0.4,0.3,1800,800,0.6,24,2.75,2,"Most Pyrexae dragons are hatched with one head, attuned to either ice or fire. Then there was Jakiro, an accident of nature. Possessing the might of both elements, the twin-headed dragon's Dual Breath freezes and burns simultaneously. Gobs of Liquid Fire adhere to armor and walls, melting down steel and stone alike. Retreating foes are blocked off with Ice Path, giving Jakiro ample time to roast them on his Macropyre.",2011-10-27,Beta,2006-04-11,6.30
Keeper of the Light,Intelligence,18,2.3,15,1.6,23,3.2,,18,2.3,84.7,15,1.6,61.4,23,3.2,115.8,56,7.1,261.9,330,2.5,41,48,600,100,1.7,0.3,0.85,1800,800,0.6,24,2.05,2,"What appears to be a frail old man on his steed is, in truth, a Fundamental, the Keeper of the Light. Ezalor's staff Illuminates the darkest corners, banishing evil from the realm. He replenishes his companions with Chakra Magic, while casting a Blinding Light over the land, causing attacks to miss. Heads turn to stare at a mysterious shimmering orb, unable to look away as the Keeper's allies encircle foes hypnotized by the flickering lights of the Will-O-Wisp.",2012-07-26,Beta,2004-10-22,5.76
Leshrac,Intelligence,20,2.5,23,2.8,22,3.5,,20,2.5,92.5,23,2.8,104.2,22,3.5,123.5,65,8.8,320.2,325,3.83,47,51,575,100,1.7,0.4,0.6,1800,800,0.6,24,2.25,4,"Once a worldly philosopher, the hideous truth at the heart of existence twisted Leshrac into the vile being he is today. The Split Earth beneath his hooves opens to consume the unsuspecting, while Lightning Storms strike down entire fields of foes. He pronounces a Diabolic Edict, saturating the air with bouts of magical explosions. Warping the structure of spacetime, Leshrac emits a continuous Pulse Nova, disintegrating nearby foes without ever lifting a finger.",2011-05-26,Beta,2004-04-08,4.00
Lich,Intelligence,20,2.1,17,2.0,24,3.6,,20,2.1,80.9,17,2.0,75.0,24,3.6,128.4,61,7.7,284.3,295,1.83,48,57,550,100,1.7,0.46,0.54,1800,800,0.7,24,2.25,2,"Resurrected by a curious geomancer, Ethreain bewitched his savior with a Sinister Gaze, then promptly made the man his newest sacrifice. Finally freed from the depths of the Black Pool, the Lich returns to wreak icy destruction on the world. Cloaking his followers with an Frost Shield, Ethreain floats across the battlefield to Frost Blast any who cross him. A frozen orb descends on his foes, traveling from one body to the next until the Chain Frost brings all opposition to their knees.",2010-11-01,Alpha,2004-02-03,0.60
Lina,Intelligence,20,2.4,23,2.4,30,3.8,,20,2.4,89.6,23,2.4,92.6,30,3.8,140.2,73,8.6,322.4,290,3.83,51,59,670,100,1.6,0.65,0.6,1800,800,0.6,24,2.25,2,"Like her younger sister, Lina's elemental affinity was the source of many headaches. Sent south to live with a patient aunt, she learned to master her Fiery Soul in the blazing Desert of Misrule. Channeling the breath of Desert Wyrms, she unleashes her Dragon Slave to burn a path before her. Attuned to fire, Lina ignites the ground with Light Strike Array, incinerating foes in a column of flame. Even the hardiest of heroes fear the Slayer's signature spell: The Laguna Blade. Focusing every bit of heat around her, Lina fires a condensed bolt of white-hot energy, instantly terminating her opponent with minimal struggle or effort.",2010-11-01,Alpha,2004-02-03,0.60
Lion,Intelligence,18,2.2,18,1.5,18,3.5,,18,2.2,81.8,18,1.5,61.5,18,3.5,119.5,54,7.2,262.8,290,2.0,47,53,600,115,1.7,0.43,0.74,1800,800,0.6,24,2.05,2,"Betrayed by his demon partner, Lion went to hell and back for his vengeance, retrieving the demon's hand and grafting it onto his own body. Earth Spikes burst out from the ground, sending his enemies into the air. A simple Hex turns heroes into a harmless frogs, allowing Lion to Mana Drain them without interruption. Satisfied, the Demon Witch raises his disfigured hand, and points the Finger of Death to exterminate foes with a torrent of infernal energy.",2010-11-01,Alpha,2004-02-03,0.60
Nature's Prophet,Intelligence,21,2.6,22,3.6,23,3.7,,21,2.6,96.4,22,3.6,126.4,23,3.7,130.3,66,9.9,353.1,295,3.67,50,60,600,100,1.7,0.4,0.6,1800,800,0.9,24,2.35,2,"Planted as a seed by the goddess Verodicia, and grown from the remnants of her own body, the Nature's Prophet rose on the vernal equinox to defend the verdant world. Gifted with foresight, he Teleports freely across the land to intercept and ambush trespassers. A ring of trees Sprout from the forest floor, trapping foes within its foliage. From the woods, he calls forth countless treants to act as sentient guardians. Channeling the goddess' fury, the Prophet strikes at every intruder in the land, bringing the Wrath of Nature down on all who would do harm to Verodicia's creation.",2011-04-20,Beta,2004-02-03,0.60
Necrophos,Intelligence,18,2.3,12,1.3,21,2.7,,18,2.3,84.7,12,1.3,49.7,21,2.7,99.3,51,6.3,233.7,280,3.0,47,51,500,100,1.7,0.3,0.47,1800,800,0.6,24,2.05,2,"Sentenced to a slow death by plague, the corrupt cardinal Rotund'jere instead found himself infected, but miraculously immune. A sadist by nature, this strange circumstance gave him the opportunity to carry out his morbid ambitions. Proclaiming himself the Necrophos, he set out to spread disease far and wide. Cloaked in a Ghost Shroud, the cardinal's ethereal presence chills his surroundings, while those who wander too close are struck by waves of Death Pulse. The most afflicted are often the first to die. Marking a head for death, the Pope of Pestilence culls the infirm with a single swing of the Reaper's Scythe.",2010-11-01,Alpha,2004-10-22,5.76
Ogre Magi,Intelligence,23,3.3,14,1.5,15,2.5,,23,3.3,118.7,14,1.5,57.5,15,2.5,87.5,52,7.3,263.7,290,7.33,49,55,150,100,1.7,0.3,0.3,1800,800,0.6,24,5.55,2,"Ogres were not known for their intelligence. Thankfully, a two-headed ogre is born once every generation, a blessed individual whose combined brainpower puts him on par with the dullest of single-headed creatures. Dubbed Aggron Stonebreak, the Ogre Magi bats orbs of flame to Ignite his playthings, then chases after them in a frenzied Bloodlust. What he lacks in wits, he makes up for with luck. The Ogre Magi possesses an innate chance to Multicast his spells, allowing him to quash enemies by doubling, tripling, even quadrupling the damage from a simple Fireblast.",2012-05-24,Beta,2004-10-22,5.76
Oracle,Intelligence,20,2.4,15,1.7,26,3.8,,20,2.4,89.6,15,1.7,64.3,26,3.8,136.2,61,7.9,290.1,295,3.5,39,45,620,100,1.7,0.3,0.7,1800,800,0.7,24,2.25,0,"Assigned to council the Graven King, Nerif's words came true with such accuracy that his advisors began to question whether the Oracle merely spoke prophecies, or shaped the very paths of fate itself. Exiled from his own universe for his disturbing powers, Nerif now turns his gifts to more immediate concerns. It could go either way. The Oracle's famous words reflect his own double-edged actions. Dispelling both boons and curses, Fortune's End comes sooner than expected. Fate's Edict shelters heroes from magic, yet prevents them from raising arms. Purifying Flames stimulate regeneration, but not without the initial pains of cleansing. Allies may find themselves briefly immune to both healing and harm, only to receive their effects twofold at the end of Nerif's False Promise.",2014-11-20,Gold,2013-05-30,6.78
Outworld Destroyer,Intelligence,21,2.9,22,1.6,30,4.2,,21,2.9,105.1,22,1.6,68.4,30,4.2,151.8,73,8.7,325.3,320,6.17,49,61,450,100,1.9,0.46,0.54,1800,800,0.6,24,3.1,4,"Wary of the happenings near the central sun, Harbinger departs from his vigil to take his place on the plains of war. The Outworld Destroyer creates an Essence Flux, balancing the tides of mana between him and his opponents. Any being may be placed in Astral Imprisonment, strategically removing them from the field. Glowing spheres fly from his staff, Arcane Orbs that permeate any shield. Looming above his enemies, the Outworld Destroyer drops the proverbial hammer, extinguishing the unenlightened with the cosmic force of Sanity's Eclipse.",2012-02-16,Beta,2006-04-11,6.30
Puck,Intelligence,17,2.4,22,2.5,23,3.5,,17,2.4,86.6,22,2.5,94.5,23,3.5,124.5,62,8.4,305.6,290,0.67,45,53,550,100,1.7,0.5,0.9,1800,800,0.9,24,2.2,2,"Hatched on the frond of the Undertree, Puck's youthful mischievousness belied inscrutable motives. Tricky and elusive, the neotenous Faerie Dragon launches a bright Illusory Orb, then reappears at any point along its path. It disrupts magecraft with a sprinkle of faerie dust, then Phase Shifts out of existence to avoid swords and spells alike. Equally adept at fighting and play, Puck binds foes to a single point with Dream Coil, forcing them to break their restraints and be stunned, or stay and face Puck's advancing allies.",2010-11-01,Alpha,2007-08-24,6.47
Pugna,Intelligence,19,2.0,24,1.3,24,5.2,,19,2.0,77.0,24,1.3,61.7,24,5.2,174.8,67,8.5,313.5,330,4.0,45,52,630,100,1.7,0.5,0.5,1800,800,0.6,24,2.15,2,"Chosen at a tender age to be the next lama, Pugna wasted no time in demonstrating his abilities. He Decrepifies his classmates, briefly banishing them to another realm. His Nether Ward fires mana flares at the source of any nearby magic, discouraging even the most powerful casters. A Nether Blast soon rocked the lamasery, razing it to the ground. The temple no longer served any purpose. Pugna had transcended his predecessors—a fact few would doubt lest he decides to Life Drain them into oblivion.",2011-05-20,Beta,2004-02-03,0.60
Queen of Pain,Intelligence,18,2.4,22,2.5,25,3.4,,18,2.4,87.6,22,2.5,94.5,25,3.4,123.6,65,8.3,305.7,290,3.67,49,55,550,100,1.5,0.56,0.41,1800,800,0.6,24,2.05,2,"Summoned in secret to fulfill a forbidden desire, Akasha performed the most exquisite torments—until her client was thrown to his death for neglecting his royal duties. Released from her contract, the Queen of Pain was now free to bring agony to whomever she pleased. She Shadow Strikes, hurling a poisoned dagger that draws out the suffering over time. Running is futile. Akasha Blinks past defenses, wracking her victims with Scream of Pain. There is only one release from such torture. The Queen flexes her membranous wings, then delivers an earpiercing Sonic Wave that will put an end to all misery.",2011-10-20,Beta,2004-02-03,0.60
Rubick,Intelligence,21,2.0,23,2.5,25,3.1,,21,2.0,79.0,23,2.5,95.5,25,3.1,114.9,69,7.6,289.4,290,3.83,49,55,550,100,1.7,0.4,0.77,1800,800,0.7,24,2.35,2,"A renowned duelist among sorcerers, Rubick ascended to the title of Grand Magus through the careful elimination of his rivals. Accustomed to assassins, Rubick reacts by lifting attackers off the ground, then throws them across the room with Telekinesis. His Arcane Supremacy amplifies his every spell, while enemy arms falter being struck with Fade Bolt. No magic is beyond the reach of the Grand Magus. Rubick replicates enemy specialties with Spell Steal, deciphering their secrets before turning them back towards their owners.",2012-06-20,Beta,2011-04-27,6.72
Shadow Demon,Intelligence,23,2.6,18,2.2,22,3.6,,23,2.6,98.4,18,2.2,81.8,22,3.6,126.4,63,8.4,306.6,290,3.0,51,55,500,100,1.7,0.35,0.5,1800,800,0.6,24,2.55,2,"Conspiring to gain power in material plane, the Shadow Demon patiently amassed himself a cult of followers. An entity of malevolent corruption, he spreads Shadow Poison to pollute the pure, compounding its effects with Soul Catcher. Heroes sent into the void of Disruption are temporarily hidden, but return with two illusions under his command. A Demonic Purge strips unneeded servants of every enchantment, effectively relieving them of their duties—and their lives.",2012-03-15,Beta,2010-07-26,6.68
Shadow Shaman,Intelligence,23,2.3,16,1.6,25,3.5,,23,2.3,89.7,16,1.6,62.4,25,3.5,126.5,64,7.4,278.6,285,4.67,71,78,400,90,1.7,0.3,0.5,1800,800,0.6,24,3.3,2,"Much to the surprise of the travelling con-man, his newly adopted assistant could actually perform his tricks with real magic. Rhasta, the young half-troll, dazzled audiences with the lights of Ether Shock, among other things. But their duplicitous deeds soon caught up with them. An angry mob descended on the pair, killing the old master. Rhasta had no choice but to adapt his show tricks for darker purposes. He Hexes one foe, transforming him into a chicken, while locking down another with magical Shackles—but not before conjuring up a Mass Serpent Ward. Spitting fire in every direction, the Shadow Shaman's charmed snakes make short work of his disabled enemies.",2010-11-01,Alpha,2004-02-03,0.60
Silencer,Intelligence,19,2.4,22,2.4,25,2.9,,19,2.4,88.6,22,2.4,91.6,25,2.9,109.1,66,7.7,289.3,290,2.67,43,57,600,115,1.7,0.5,0.5,1800,800,0.6,24,2.15,2,"Two hundred years of selective breeding had produced Nortrom, the prophesied war-mage that would bring glory to the order of Aeol Drias. Therefore, disgust and disappointment followed when it was found that the boy could cast not even a hex. Yet, on the day of final testing, Nortrom would have the Last Word. His arranged opponents fell under an Arcane Curse, draining their health with each incantation made. Then, there was Global Silence. Not a gasp or whisper escaped their lips as Nortrom finished off each challenger with his multipronged Glaives of Wisdom. At that moment, it became clear to all watching: The absence of magic can be the greatest magic of all.",2012-01-12,Beta,2004-02-03,0.60
Skywrath Mage,Intelligence,21,2.0,13,0.8,25,4.1,,21,2.0,79.0,13,0.8,36.2,25,4.1,143.9,59,6.9,259.1,325,0.17,41,51,625,100,1.7,0.4,0.78,1800,800,0.6,24,2.35,2,"Ensconced in his studies, Dragonus hardly noticed the treachery being plotted against his lover. By the time Shendelzare had fallen from grace, it was already too late. Bound to his courtly duties, Dragonus could only dream in secret of restoring his beloved to her rightful throne. Until then, he would sharpen his skills, blasting away at targets with Arcane Bolt and slowing them with Concussive Shot. Those who stand in his way would be muted by an Ancient Seal, exposing their vulnerability before the Skywrath Mage annihilates them in the storm of Mystic Flare.",2013-04-19,Beta,2011-12-24,6.73
Storm Spirit,Intelligence,21,2.0,22,1.9,23,3.9,,21,2.0,79.0,22,1.9,77.1,23,3.9,136.1,66,7.8,292.2,285,5.67,47,57,480,115,1.7,0.5,0.3,1800,800,0.8,24,2.35,2,"In a final act of desperation, the elementalist Thunderkeg cast a suicidal spell that merged his being with the Storm Celestial. From this fusion, the Storm Spirit was born. Now known by his combined name, Raijin Thunderkeg leaves behind crackling images of himself, boastful poses that shock foes as he pulls them into his Electric Vortex. Every ability Overloads him with energy, which he gleefully discharges on the next unfortunate target. Like a jolly weatherman, Raijin forecasts victory with a boisterous laugh. The Storm Spirit flashes across the land in the form of Ball Lightning, zaps his enemies senseless, and zips away before any can hope to catch him.",2010-11-01,Alpha,2007-06-10,6.44
Techies,Intelligence,19,2.5,14,1.3,25,3.0,,19,2.5,91.5,14,1.3,51.7,25,3.0,112.0,58,6.8,255.2,300,5.33,46,48,700,100,1.7,0.5,0.5,1800,800,0.6,24,2.15,6,"Techies Demolitions was not so much a business as it was an excuse for Squee, Spleen, and Spoon to practice their favorite hobby: Blowin' stuff up. The Proximity Mines they buried beneath Toterin collapsed that town into a heap of rubble. The Stasis Traps they set for Trapper Town stunned the trappers while their quarry got away. A new invention has to be tested on something. Packed with flamesalt explosives, a stack of Remote Mines reduced Dredger's Bight to a smoking crater. Techies Demolitions handles dissatisfied customers with unexpected cheer. The last words ""Blast Off!"" can be heard just before an epic explosion delivers them from the need to face any consequences.",2014-09-04,Gold,2004-04-08,4.00
Tinker,Intelligence,18,2.5,13,1.2,30,3.3,,18,2.5,90.5,13,1.2,47.8,30,3.3,125.7,61,7.0,264.0,290,4.17,52,58,500,100,1.7,0.35,0.65,1800,800,0.6,24,2.05,2,"Compared to magic, the study of natural law was much more consistent, but no less dangerous. From their subterranean laboratory, Boush and his colleagues opened a portal to a distant world, a portal through which untold horrors began to pass into this realm. Cutting his way to freedom with a Laser, Boush surfaced as the only Tinker to survive the Violet Plateau incident. Equipped with contraptions befitting a maniacal researcher, Boush launches Heat-Seeking Missiles from his shoulders, and radios in armies of robotic drones to disassemble his enemies. Unhindered by the delays of magic, the Tinker Rearms his tools on the fly, wasting no time in demolishing anything that stands in his way.",2011-06-02,Beta,2004-10-22,5.76
Visage,Intelligence,22,2.8,11,1.3,22,2.9,,22,2.8,103.2,11,1.3,48.7,22,2.9,106.1,55,7.0,258.0,285,0.83,45,55,600,110,1.7,0.4,0.54,1800,800,0.6,24,2.45,2,"Perched atop the Narrow Maze was Visage, a dreadful gargoyle form to which the eternal spirit Necro'lic was bound. Tasked with hunting down those who escape the afterlife, Visage instills a Grave Chill in his prey, impairing them as he reaps their essence with Soul Assumption. Protected by a Gravekeeper's Cloak, the gargoyle's ablative layers deflect both steel and spells. Visage's Familiars circle above, scouting the land for runaways. On his command, they harass their prey, then drop down to earth in Stone Form to restrain the captive for their master's impending arrival.",2012-07-26,Beta,2004-02-03,0.60
Void Spirit,Intelligence,22,2.6,19,2.2,24,3.1,,22,2.6,97.4,19,2.2,82.8,24,3.1,113.9,65,7.9,294.1,295,2.17,54,58,200,100,1.7,0.35,0.78,1800,800,0.7,24,2.45,2,"From the Hidden Temple, Inai steps into the material world to perform tasks that change the trajectory of the world. Dissimilating and reappearing in random portals, the Void Spirit leaves behind glowing Aether Remnants that pull enemies into their destructive embrace. Sending out a Resonant Pulse, he shrouds himself in the essence of the void, absorbing incoming attacks. A tear in reality is observed as the Void Spirit Astral Steps through his enemies, leaving a trail of ruin in his path.",2019-11-26,Reborn,-,7.23
