Appl,Browser,CLDR Short Name,Code,DCM,FB,GMail,Goog,Joy,KDDI,SB,Sams,Twtr,Wind,№
524,U+1F463,👣,,,,,,,,,,,,footprints
Component,Component,Component,Component,Component,Component,Component,Component,Component,Component,Component,Component,Component,Component,Component
hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style,hair-style
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
525,U+1F9B0,🦰,,,,,,,,—,—,—,—,red hair
526,U+1F9B1,🦱,,,,,,,,—,—,—,—,curly hair
527,U+1F9B3,🦳,,,,,,,,—,—,—,—,white hair
528,U+1F9B2,🦲,,,,,,,,—,—,—,—,bald
Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature,Animals & Nature
animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal,animal-mammal
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
529,U+1F435,🐵,,,,,,,,,,—,,monkey face
530,U+1F412,🐒,,,,,,,,,,—,—,monkey
531,U+1F98D,🦍,,,,,,,,—,—,—,—,gorilla
532,U+1F9A7,🦧,,,,,,,,—,—,—,—,orangutan
533,U+1F436,🐶,,,,,,,,,,,,dog face
534,U+1F415,🐕,,,,,,,,—,—,—,—,dog
535,U+1F9AE,🦮,,,,,,,,—,—,—,—,guide dog
536,U+1F415 U+200D U+1F9BA,🐕‍🦺,,,,,,,,—,—,—,—,service dog
537,U+1F429,🐩,,,,,,,,,—,—,,poodle
538,U+1F43A,🐺,,,,,,,,,,—,—,wolf
539,U+1F98A,🦊,,,,,,,,—,—,—,—,fox
540,U+1F99D,🦝,,,,,,,,—,—,—,—,raccoon
541,U+1F431,🐱,,,,,,,,,,,,cat face
542,U+1F408,🐈,,,,,,,,—,—,—,—,cat
543,U+1F408 U+200D U+2B1B,🐈‍⬛,,,—,—,,,—,—,—,—,—,black cat
544,U+1F981,🦁,,,,,,,,—,—,—,—,lion
545,U+1F42F,🐯,,,,,,,,,,—,,tiger face
546,U+1F405,🐅,,,,,,,,—,—,—,—,tiger
547,U+1F406,🐆,,,,,,,,—,—,—,—,leopard
548,U+1F434,🐴,,,,,,,,,,,,horse face
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
549,U+1F40E,🐎,,,,,,,,,,—,—,horse
550,U+1F984,🦄,,,,,,,,—,—,—,—,unicorn
551,U+1F993,🦓,,,,,,,,—,—,—,—,zebra
552,U+1F98C,🦌,,,,,,,,—,—,—,—,deer
553,U+1F9AC,🦬,,,—,—,,,—,—,—,—,—,bison
554,U+1F42E,🐮,,,,,,,,,,—,,cow face
555,U+1F402,🐂,,,,,,,,—,—,—,—,ox
556,U+1F403,🐃,,,,,,,,—,—,—,—,water buffalo
557,U+1F404,🐄,,,,,,,,—,—,—,—,cow
558,U+1F437,🐷,,,,,,,,,,,,pig face
559,U+1F416,🐖,,,,,,,,—,—,—,—,pig
560,U+1F417,🐗,,,,,,,,,,—,,boar
561,U+1F43D,🐽,,,,,,,,,—,—,,pig nose
562,U+1F40F,🐏,,,,,,,,—,—,—,—,ram
563,U+1F411,🐑,,,,,,,,,,—,—,ewe
564,U+1F410,🐐,,,,,,,,—,—,—,—,goat
565,U+1F42A,🐪,,,,,,,,—,—,—,—,camel
566,U+1F42B,🐫,,,,,,,,,,—,,two-hump camel
567,U+1F999,🦙,,,,,,,,—,—,—,—,llama
568,U+1F992,🦒,,,,,,,,—,—,—,—,giraffe
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
569,U+1F418,🐘,,,,,,,,,,—,,elephant
570,U+1F9A3,🦣,,,—,—,,,—,—,—,—,—,mammoth
571,U+1F98F,🦏,,,,,,,,—,—,—,—,rhinoceros
572,U+1F99B,🦛,,,,,,,,—,—,—,—,hippopotamus
573,U+1F42D,🐭,,,,,,,,,,—,,mouse face
574,U+1F401,🐁,,,,,,,,—,—,—,—,mouse
575,U+1F400,🐀,,,,,,,,—,—,—,—,rat
576,U+1F439,🐹,,,,,,,,,,—,—,hamster
577,U+1F430,🐰,,,,,,,,,,—,,rabbit face
578,U+1F407,🐇,,,,,,,,—,—,—,—,rabbit
579,U+1F43F,🐿,,,,,,,,—,—,—,—,chipmunk
580,U+1F9AB,🦫,,,—,—,,,—,—,—,—,—,beaver
581,U+1F994,🦔,,,,,,,,—,—,—,—,hedgehog
582,U+1F987,🦇,,,,,,,,—,—,—,—,bat
583,U+1F43B,🐻,,,,,,,,,,—,,bear
584,U+1F43B U+200D U+2744 U+FE0F,🐻‍❄️,,,—,—,,,—,—,—,—,—,polar bear
585,U+1F428,🐨,,,,,,,,,,—,,koala
586,U+1F43C,🐼,,,,,,,,,—,—,,panda
587,U+1F9A5,🦥,,,,,,,,—,—,—,—,sloth
588,U+1F9A6,🦦,,,,,,,,—,—,—,—,otter
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
589,U+1F9A8,🦨,,,,,,,,—,—,—,—,skunk
590,U+1F998,🦘,,,,,,,,—,—,—,—,kangaroo
591,U+1F9A1,🦡,,,,,,,,—,—,—,—,badger
592,U+1F43E,🐾,,,,,,,,,—,—,,paw prints
animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird,animal-bird
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
593,U+1F983,🦃,,,,,,,,—,—,—,—,turkey
594,U+1F414,🐔,,,,,,,,,,—,,chicken
595,U+1F413,🐓,,,,,,,,—,—,—,—,rooster
596,U+1F423,🐣,,,,,,,,,—,—,,hatching chick
597,U+1F424,🐤,,,,,,,,,,,,baby chick
598,U+1F425,🐥,,,,,,,,,—,—,,front-facing baby chick
599,U+1F426,🐦,,,,,,,,,,—,—,bird
600,U+1F427,🐧,,,,,,,,,,,,penguin
601,U+1F54A,🕊,,,,,,,,—,—,—,—,dove
602,U+1F985,🦅,,,,,,,,—,—,—,—,eagle
603,U+1F986,🦆,,,,,,,,—,—,—,—,duck
604,U+1F9A2,🦢,,,,,,,,—,—,—,—,swan
605,U+1F989,🦉,,,,,,,,—,—,—,—,owl
606,U+1F9A4,🦤,,,—,—,,,—,—,—,—,—,dodo
607,U+1FAB6,🪶,,,—,—,,,—,—,—,—,—,feather
608,U+1F9A9,🦩,,,,,,,,—,—,—,—,flamingo
609,U+1F99A,🦚,,,,,,,,—,—,—,—,peacock
610,U+1F99C,🦜,,,,,,,,—,—,—,—,parrot
animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian,animal-amphibian
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
611,U+1F438,🐸,,,,,,,,,,—,,frog
animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile,animal-reptile
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
612,U+1F40A,🐊,,,,,,,,—,—,—,—,crocodile
613,U+1F422,🐢,,,,,,,,,—,—,,turtle
614,U+1F98E,🦎,,,,,,,,—,—,—,—,lizard
615,U+1F40D,🐍,,,,,,,,,,—,,snake
616,U+1F432,🐲,,,,,,,,,—,—,,dragon face
617,U+1F409,🐉,,,,,,,,—,—,—,—,dragon
618,U+1F995,🦕,,,,,,,,—,—,—,—,sauropod
619,U+1F996,🦖,,,,,,,,—,—,—,—,T-Rex
animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine,animal-marine
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
620,U+1F433,🐳,,,,,,,,,,—,,spouting whale
621,U+1F40B,🐋,,,,,,,,—,—,—,—,whale
622,U+1F42C,🐬,,,,,,,,,,—,,dolphin
623,U+1F9AD,🦭,,,—,—,,,—,—,—,—,—,seal
624,U+1F41F,🐟,,,,,,,,,,,—,fish
625,U+1F420,🐠,,,,,,,,,,—,,tropical fish
626,U+1F421,🐡,,,,,,,,,—,—,,blowfish
627,U+1F988,🦈,,,,,,,,—,—,—,—,shark
628,U+1F419,🐙,,,,,,,,,,—,,octopus
629,U+1F41A,🐚,,,,,,,,,,—,,spiral shell
630,U+1FAB8,🪸,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ coral
animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug,animal-bug
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
631,U+1F40C,🐌,,,,,,,,,—,,,snail
632,U+1F98B,🦋,,,,,,,,—,—,—,—,butterfly
633,U+1F41B,🐛,,,,,,,,,,—,,bug
634,U+1F41C,🐜,,,,,,,,,—,—,,ant
635,U+1F41D,🐝,,,,,,,,,—,—,,honeybee
636,U+1FAB2,🪲,,,—,—,,,—,—,—,—,—,beetle
637,U+1F41E,🐞,,,,,,,,,—,—,,lady beetle
638,U+1F997,🦗,,,,,,,,—,—,—,—,cricket
639,U+1FAB3,🪳,,,—,—,,,—,—,—,—,—,cockroach
640,U+1F577,🕷,,,,,,,,—,—,—,—,spider
641,U+1F578,🕸,,,,,,,,—,—,—,—,spider web
642,U+1F982,🦂,,,,,,,,—,—,—,—,scorpion
643,U+1F99F,🦟,,,,,,,,—,—,—,—,mosquito
644,U+1FAB0,🪰,,,—,—,,,—,—,—,—,—,fly
645,U+1FAB1,🪱,,,—,—,,,—,—,—,—,—,worm
646,U+1F9A0,🦠,,,,,,,,—,—,—,—,microbe
plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower,plant-flower
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
647,U+1F490,💐,,,,,,,,,,—,,bouquet
648,U+1F338,🌸,,,,,,,,,,,,cherry blossom
649,U+1F4AE,💮,,,,,,,,,—,—,,white flower
650,U+1FAB7,🪷,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ lotus
651,U+1F3F5,🏵,,,,,,,,—,—,—,—,rosette
652,U+1F339,🌹,,,,,,,,,,—,,rose
653,U+1F940,🥀,,,,,,,,—,—,—,—,wilted flower
654,U+1F33A,🌺,,,,,,,,,,—,,hibiscus
655,U+1F33B,🌻,,,,,,,,,,—,,sunflower
656,U+1F33C,🌼,,,,,,,,,—,—,,blossom
657,U+1F337,🌷,,,,,,,,,,,,tulip
plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other,plant-other
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
658,U+1F331,🌱,,,,,,,,,—,,,seedling
659,U+1FAB4,🪴,,,—,—,,,—,—,—,—,—,potted plant
660,U+1F332,🌲,,,,,,,,—,—,—,—,evergreen tree
661,U+1F333,🌳,,,,,,,,—,—,—,—,deciduous tree
662,U+1F334,🌴,,,,,,,,,,—,,palm tree
663,U+1F335,🌵,,,,,,,,,,—,,cactus
664,U+1F33E,🌾,,,,,,,,,,—,—,sheaf of rice
665,U+1F33F,🌿,,,,,,,,,—,—,,herb
666,U+2618,☘,,,,,,,,—,—,—,—,shamrock
667,U+1F340,🍀,,,,,,,,,,,,four leaf clover
668,U+1F341,🍁,,,,,,,,,,,,maple leaf
669,U+1F342,🍂,,,,,,,,,,—,,fallen leaf
670,U+1F343,🍃,,,,,,,,,,—,—,leaf fluttering in wind
671,U+1FAB9,🪹,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ empty nest
672,U+1FABA,🪺,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ nest with eggs
Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink
food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit,food-fruit
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
673,U+1F347,🍇,,,,,,,,,—,—,,grapes
674,U+1F348,🍈,,,,,,,,,—,—,,melon
675,U+1F349,🍉,,,,,,,,,,—,,watermelon
676,U+1F34A,🍊,,,,,,,,,,—,,tangerine
677,U+1F34B,🍋,,,,,,,,—,—,—,—,lemon
678,U+1F34C,🍌,,,,,,,,,—,,,banana
679,U+1F34D,🍍,,,,,,,,,—,—,,pineapple
680,U+1F96D,🥭,,,,,,,,—,—,—,—,mango
681,U+1F34E,🍎,,,,,,,,,,,,red apple
682,U+1F34F,🍏,,,,,,,,,—,—,,green apple
683,U+1F350,🍐,,,,,,,,—,—,—,—,pear
684,U+1F351,🍑,,,,,,,,,—,—,,peach
685,U+1F352,🍒,,,,,,,,,—,,,cherries
686,U+1F353,🍓,,,,,,,,,,—,,strawberry
687,U+1FAD0,🫐,,,—,—,,,—,—,—,—,—,blueberries
688,U+1F95D,🥝,,,,,,,,—,—,—,—,kiwi fruit
689,U+1F345,🍅,,,,,,,,,,—,,tomato
690,U+1FAD2,🫒,,,—,—,,,—,—,—,—,—,olive
691,U+1F965,🥥,,,,,,,,—,—,—,—,coconut
food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable,food-vegetable
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
692,U+1F951,🥑,,,,,,,,—,—,—,—,avocado
693,U+1F346,🍆,,,,,,,,,,—,,eggplant
694,U+1F954,🥔,,,,,,,,—,—,—,—,potato
695,U+1F955,🥕,,,,,,,,—,—,—,—,carrot
696,U+1F33D,🌽,,,,,,,,,—,—,,ear of corn
697,U+1F336,🌶,,,,,,,,—,—,—,—,hot pepper
698,U+1FAD1,🫑,,,—,—,,,—,—,—,—,—,bell pepper
699,U+1F952,🥒,,,,,,,,—,—,—,—,cucumber
700,U+1F96C,🥬,,,,,,,,—,—,—,—,leafy green
701,U+1F966,🥦,,,,,,,,—,—,—,—,broccoli
702,U+1F9C4,🧄,,,,,,,,—,—,—,—,garlic
703,U+1F9C5,🧅,,,,,,,,—,—,—,—,onion
704,U+1F344,🍄,,,,,,,,,—,—,,mushroom
705,U+1F95C,🥜,,,,,,,,—,—,—,—,peanuts
706,U+1FAD8,🫘,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ beans
707,U+1F330,🌰,,,,,,,,,—,—,,chestnut
food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared,food-prepared
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
708,U+1F35E,🍞,,,,,,,,,,,,bread
709,U+1F950,🥐,,,,,,,,—,—,—,—,croissant
710,U+1F956,🥖,,,,,,,,—,—,—,—,baguette bread
711,U+1FAD3,🫓,,,—,—,,,—,—,—,—,—,flatbread
712,U+1F968,🥨,,,,,,,,—,—,—,—,pretzel
713,U+1F96F,🥯,,,,,,,,—,—,—,—,bagel
714,U+1F95E,🥞,,,,,,,,—,—,—,—,pancakes
715,U+1F9C7,🧇,,,,,,,,—,—,—,—,waffle
716,U+1F9C0,🧀,,,,,,,,—,—,—,—,cheese wedge
717,U+1F356,🍖,,,,,,,,,—,—,,meat on bone
718,U+1F357,🍗,,,,,,,,,—,—,,poultry leg
719,U+1F969,🥩,,,,,,,,—,—,—,—,cut of meat
720,U+1F953,🥓,,,,,,,,—,—,—,—,bacon
721,U+1F354,🍔,,,,,,,,,,,,hamburger
722,U+1F35F,🍟,,,,,,,,,,—,,french fries
723,U+1F355,🍕,,,,,,,,,—,—,,pizza
724,U+1F32D,🌭,,,,,,,,—,—,—,—,hot dog
725,U+1F96A,🥪,,,,,,,,—,—,—,—,sandwich
726,U+1F32E,🌮,,,,,,,,—,—,—,—,taco
727,U+1F32F,🌯,,,,,,,,—,—,—,—,burrito
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
728,U+1FAD4,🫔,,,—,—,,,—,—,—,—,—,tamale
729,U+1F959,🥙,,,,,,,,—,—,—,—,stuffed flatbread
730,U+1F9C6,🧆,,,,,,,,—,—,—,—,falafel
731,U+1F95A,🥚,,,,,,,,—,—,—,—,egg
732,U+1F373,🍳,,,,,,,,,,—,,cooking
733,U+1F958,🥘,,,,,,,,—,—,—,—,shallow pan of food
734,U+1F372,🍲,,,,,,,,,,—,,pot of food
735,U+1FAD5,🫕,,,—,—,,,—,—,—,—,—,fondue
736,U+1F963,🥣,,,,,,,,—,—,—,—,bowl with spoon
737,U+1F957,🥗,,,,,,,,—,—,—,—,green salad
738,U+1F37F,🍿,,,,,,,,—,—,—,—,popcorn
739,U+1F9C8,🧈,,,,,,,,—,—,—,—,butter
740,U+1F9C2,🧂,,,,,,,,—,—,—,—,salt
741,U+1F96B,🥫,,,,,,,,—,—,—,—,canned food
food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian,food-asian
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
742,U+1F371,🍱,,,,,,,,,,—,,bento box
743,U+1F358,🍘,,,,,,,,,,—,,rice cracker
744,U+1F359,🍙,,,,,,,,,,,,rice ball
745,U+1F35A,🍚,,,,,,,,,,—,,cooked rice
746,U+1F35B,🍛,,,,,,,,,,—,,curry rice
747,U+1F35C,🍜,,,,,,,,,,,,steaming bowl
748,U+1F35D,🍝,,,,,,,,,,—,,spaghetti
749,U+1F360,🍠,,,,,,,,,—,—,,roasted sweet potato
750,U+1F362,🍢,,,,,,,,,,—,,oden
751,U+1F363,🍣,,,,,,,,,,—,,sushi
752,U+1F364,🍤,,,,,,,,,—,—,,fried shrimp
753,U+1F365,🍥,,,,,,,,,—,—,,fish cake with swirl
754,U+1F96E,🥮,,,,,,,,—,—,—,—,moon cake
755,U+1F361,🍡,,,,,,,,,,—,,dango
756,U+1F95F,🥟,,,,,,,,—,—,—,—,dumpling
757,U+1F960,🥠,,,,,,,,—,—,—,—,fortune cookie
758,U+1F961,🥡,,,,,,,,—,—,—,—,takeout box
food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine,food-marine
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
759,U+1F980,🦀,,,,,,,,—,—,—,—,crab
760,U+1F99E,🦞,,,,,,,,—,—,—,—,lobster
761,U+1F990,🦐,,,,,,,,—,—,—,—,shrimp
762,U+1F991,🦑,,,,,,,,—,—,—,—,squid
763,U+1F9AA,🦪,,,,,,,,—,—,—,—,oyster
food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet,food-sweet
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
764,U+1F366,🍦,,,,,,,,,,—,,soft ice cream
765,U+1F367,🍧,,,,,,,,,,—,,shaved ice
766,U+1F368,🍨,,,,,,,,,—,—,,ice cream
767,U+1F369,🍩,,,,,,,,,—,—,,doughnut
768,U+1F36A,🍪,,,,,,,,,—,—,,cookie
769,U+1F382,🎂,,,,,,,,,,,,birthday cake
770,U+1F370,🍰,,,,,,,,,,,,shortcake
771,U+1F9C1,🧁,,,,,,,,—,—,—,—,cupcake
772,U+1F967,🥧,,,,,,,,—,—,—,—,pie
773,U+1F36B,🍫,,,,,,,,,—,—,,chocolate bar
774,U+1F36C,🍬,,,,,,,,,—,—,,candy
775,U+1F36D,🍭,,,,,,,,,—,—,,lollipop
776,U+1F36E,🍮,,,,,,,,,—,—,,custard
777,U+1F36F,🍯,,,,,,,,,—,—,,honey pot
drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
778,U+1F37C,🍼,,,,,,,,—,—,—,—,baby bottle
779,U+1F95B,🥛,,,,,,,,—,—,—,—,glass of milk
780,U+2615,☕,,,,,,,,,,,,hot beverage
781,U+1FAD6,🫖,,,—,—,,,—,—,—,—,—,teapot
782,U+1F375,🍵,,,,,,,,,,,,teacup without handle
783,U+1F376,🍶,,,,,,,,,,,,sake
784,U+1F37E,🍾,,,,,,,,—,—,—,—,bottle with popping cork
785,U+1F377,🍷,,,,,,,,,—,,,wine glass
786,U+1F378,🍸,,,,,,,,,,,,cocktail glass
787,U+1F379,🍹,,,,,,,,,—,—,,tropical drink
788,U+1F37A,🍺,,,,,,,,,,,,beer mug
789,U+1F37B,🍻,,,,,,,,,,—,,clinking beer mugs
790,U+1F942,🥂,,,,,,,,—,—,—,—,clinking glasses
791,U+1F943,🥃,,,,,,,,—,—,—,—,tumbler glass
792,U+1FAD7,🫗,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ pouring liquid
793,U+1F964,🥤,,,,,,,,—,—,—,—,cup with straw
794,U+1F9CB,🧋,,,—,—,,,—,—,—,—,—,bubble tea
795,U+1F9C3,🧃,,,,,,,,—,—,—,—,beverage box
796,U+1F9C9,🧉,,,,,,,,—,—,—,—,mate
797,U+1F9CA,🧊,,,,,,,,—,—,—,—,ice
dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware,dishware
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
798,U+1F962,🥢,,,,,,,,—,—,—,—,chopsticks
799,U+1F37D,🍽,,,,,,,,—,—,—,—,fork and knife with plate
800,U+1F374,🍴,,,,,,,,,,,,fork and knife
801,U+1F944,🥄,,,,,,,,—,—,—,—,spoon
802,U+1F52A,🔪,,,,,,,,,—,—,,kitchen knife
803,U+1FAD9,🫙,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ jar
804,U+1F3FA,🏺,,,,,,,,—,—,—,—,amphora
Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places,Travel & Places
place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map,place-map
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
805,U+1F30D,🌍,,,,,,,,—,—,—,—,globe showing Europe-Africa
806,U+1F30E,🌎,,,,,,,,—,—,—,—,globe showing Americas
807,U+1F30F,🌏,,,,,,,,,—,—,,globe showing Asia-Australia
808,U+1F310,🌐,,,,,,,,—,—,—,—,globe with meridians
809,U+1F5FA,🗺,,,,,,,,—,—,—,—,world map
810,U+1F5FE,🗾,,,,,,,—,,—,—,,map of Japan
811,U+1F9ED,🧭,,,,,,,,—,—,—,—,compass
place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic,place-geographic
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
812,U+1F3D4,🏔,,,,,,,,—,—,—,—,snow-capped mountain
813,U+26F0,⛰,,,,,,,,—,—,—,—,mountain
814,U+1F30B,🌋,,,,,,,,,—,—,,volcano
815,U+1F5FB,🗻,,,,,,,,,,,,mount fuji
816,U+1F3D5,🏕,,,,,,,,—,—,—,—,camping
817,U+1F3D6,🏖,,,,,,,,—,—,—,—,beach with umbrella
818,U+1F3DC,🏜,,,,,,,,—,—,—,—,desert
819,U+1F3DD,🏝,,,,,,,,—,—,—,—,desert island
820,U+1F3DE,🏞,,,,,,,,—,—,—,—,national park
place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building,place-building
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
821,U+1F3DF,🏟,,,,,,,,—,—,—,—,stadium
822,U+1F3DB,🏛,,,,,,,,—,—,—,—,classical building
823,U+1F3D7,🏗,,,,,,,,—,—,—,—,building construction
824,U+1F9F1,🧱,,,,,,,,—,—,—,—,brick
825,U+1FAA8,🪨,,,—,—,,,—,—,—,—,—,rock
826,U+1FAB5,🪵,,,—,—,,,—,—,—,—,—,wood
827,U+1F6D6,🛖,,,—,—,,,—,—,—,—,—,hut
828,U+1F3D8,🏘,,,,,,,,—,—,—,—,houses
829,U+1F3DA,🏚,,,,,,,,—,—,—,—,derelict house
830,U+1F3E0,🏠,,,,,,,,,,,,house
831,U+1F3E1,🏡,,,,,,,,,—,—,,house with garden
832,U+1F3E2,🏢,,,,,,,,,,,,office building
833,U+1F3E3,🏣,,,,,,,,,,,,Japanese post office
834,U+1F3E4,🏤,,,,,,,,—,—,—,—,post office
835,U+1F3E5,🏥,,,,,,,,,,,,hospital
836,U+1F3E6,🏦,,,,,,,,,,,,bank
837,U+1F3E8,🏨,,,,,,,,,,,,hotel
838,U+1F3E9,🏩,,,,,,,,,,—,,love hotel
839,U+1F3EA,🏪,,,,,,,,,,,,convenience store
840,U+1F3EB,🏫,,,,,,,,,,,,school
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
841,U+1F3EC,🏬,,,,,,,,,,—,,department store
842,U+1F3ED,🏭,,,,,,,,,,—,,factory
843,U+1F3EF,🏯,,,,,,,,,,—,,Japanese castle
844,U+1F3F0,🏰,,,,,,,,,,—,,castle
845,U+1F492,💒,,,,,,,,,,—,—,wedding
